paretosat-msh-nolazydown,paretosat-msh
58.86,53.03
49.19,60.42
5400.0,5400.0
61.13,57.58
5176.27,5400.0
5400.0,5400.0
5400.0,3386.7999999999997
5400.0,5400.0
744.26,672.79
5400.0,5400.0
3563.3500000000004,2459.46
605.05,591.72
160.87,161.46
1396.5200000000002,1641.91
895.09,1177.38
5400.0,5400.0
355.83,329.97999999999996
5400.0,5400.0
5400.0,5400.0
457.13000000000005,624.09
35.82,33.25
3328.3,4814.34
4517.14,5202.629999999999
214.60999999999999,159.56
52.58,43.61
4135.820000000001,5400.0
88.48,44.89
5400.0,5400.0
1519.67,1188.52
1097.6999999999998,1497.79
149.53,188.35000000000002
1348.0,1479.6299999999999
5400.0,5400.0
84.60000000000001,97.26
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
416.61,358.09000000000003
5400.0,5400.0
3013.6099999999997,3466.1000000000004
1240.49,1533.71
2826.2000000000003,4159.68
58.05,82.24
5400.0,5400.0
1478.74,1109.87
367.06,286.01000000000005
5400.0,5400.0
5400.0,5400.0
87.63000000000001,112.94
5400.0,5400.0
2427.6099999999997,2538.8300000000004
107.16,108.73
1920.8000000000002,3060.8
5400.0,5400.0
920.41,838.86
79.69,85.87
698.5,985.41
5400.0,5400.0
146.73999999999998,166.59
5400.0,5400.0
806.67,1168.74
70.52000000000001,99.77000000000001
448.16,383.64
5400.0,5400.0
3352.26,3584.44
5400.0,5400.0
1784.94,1780.83
5400.0,4813.34
5400.0,5400.0
418.18,497.46
5400.0,5400.0
484.0,536.5300000000001
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
79.36,96.52
5400.0,5400.0
1633.5800000000002,2310.64
5400.0,5400.0
53.2,61.489999999999995
391.09,484.78000000000003
2480.41,2882.43
5400.0,5400.0
547.75,793.51
156.82999999999998,198.59
5400.0,3628.16
5400.0,5400.0
89.75,88.68
5400.0,5400.0
1759.48,1634.47
2031.93,2801.02
3451.7000000000003,2981.08
5400.0,5400.0
675.69,1049.96
98.52,134.22000000000003
1408.31,1878.86
5400.0,5400.0
414.42,490.20000000000005
624.4399999999999,637.9499999999999
5400.0,5400.0
4695.11,4018.08
995.14,1594.6299999999999
589.93,750.66
5400.0,5400.0
539.76,643.0300000000001
1519.77,2039.6599999999999
1149.48,2511.4
5400.0,5400.0
5400.0,5400.0
439.41,663.55
550.8,696.57
101.7,96.03
5400.0,5400.0
2107.3399999999997,2507.7000000000003
393.35,390.09000000000003
736.93,804.66
79.92999999999999,108.62
1058.69,1326.03
319.25,418.34999999999997
5400.0,5400.0
