nsolved,bioptsat-oll,bioptsat-msu3,bioptsat-us,bioptsat-msh,pminimal,bioptsat-su
1,11.260000000000002,49.809999999999995,61.51,68.52,75.61,88.69
2,37.26,83.41,79.46000000000001,78.95,84.36,103.27
3,45.449999999999996,92.46000000000001,149.79,91.61,207.20999999999998,156.75
4,58.44,96.36,187.51999999999998,95.83,215.9,166.99
5,85.44,114.3,230.68,122.67,288.28000000000003,208.28
6,133.64,114.92,331.03000000000003,125.41999999999999,298.54,241.22
7,143.98000000000002,121.4,472.60999999999996,127.39999999999999,314.84999999999997,259.35
8,157.06,125.82,534.38,128.10999999999999,414.39,379.27
9,173.47,126.7,580.43,147.28,423.93,420.2
10,181.61999999999998,150.19,589.48,150.70000000000002,718.6400000000001,508.92
11,183.32999999999998,161.4,675.35,161.23,730.61,531.52
12,216.23000000000002,182.87,905.45,182.95,759.34,538.91
13,316.0,188.69,945.48,186.06,828.42,721.97
14,318.54,209.17999999999998,972.13,207.78,960.1700000000001,814.13
15,321.83,270.15,1140.25,270.89,990.5300000000001,837.29
16,678.21,295.33,1150.71,299.19,1103.11,1077.0900000000001
17,736.14,321.15999999999997,1248.89,322.85,1216.5,1182.08
18,912.4599999999999,393.26,1300.5400000000002,395.18,1241.42,1218.51
19,1039.5700000000002,535.11,1483.14,409.29,1360.25,1392.69
20,1041.68,544.91,1510.1599999999999,492.11,1487.55,1558.5500000000002
21,1062.0,581.29,1973.89,533.5300000000001,1552.03,1653.53
22,1112.46,592.6,2486.16,543.96,1864.78,2054.79
23,1123.16,624.33,2555.33,547.36,2235.1499999999996,2101.62
24,1212.87,734.87,2875.9100000000003,626.3100000000001,2367.7400000000002,2195.02
25,1760.24,930.8199999999999,3531.32,731.17,2674.2400000000002,2275.39
26,1921.3500000000001,952.49,4080.4300000000003,869.93,2677.75,2567.96
27,1932.03,1108.39,4100.48,904.52,2719.8399999999997,2629.73
28,2356.0099999999998,1199.3999999999999,5005.45,905.49,3030.83,2828.8500000000004
29,2488.07,1225.1000000000001,5250.530000000001,913.24,3567.5699999999997,3121.27
30,2514.5899999999997,1311.8400000000001,,931.03,3784.93,3725.93
31,2693.0,1569.1999999999998,,948.39,3854.42,3749.5899999999997
32,3403.5699999999997,1621.11,,1069.71,4063.0499999999997,3853.36
33,4107.6,1870.26,,1075.92,4171.92,4111.2699999999995
34,4117.080000000001,1884.03,,1218.32,4199.32,4113.76
35,,2042.02,,1397.63,4477.72,4874.15
36,,2697.08,,1570.55,4675.52,
37,,,,2665.09,5123.82,
38,,,,3133.93,5380.839999999999,
39,,,,3277.8199999999997,,
40,,,,3796.9300000000003,,
