bioptsat-msh-disjoint,bioptsat-msh
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
83.13,78.95
350.11,322.85
5400.0,5400.0
5400.0,3796.9300000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
233.82,182.95
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
234.72,270.89
5400.0,5400.0
142.98000000000002,147.28
76.16,68.52
363.19,533.5300000000001
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1123.44,904.52
726.18,626.3100000000001
5400.0,5400.0
5400.0,5400.0
1059.29,1069.71
241.5,186.06
1426.4,1397.63
5400.0,5400.0
2217.82,1570.55
5400.0,5400.0
1022.79,869.93
5400.0,5400.0
4731.21,5400.0
5400.0,5400.0
5400.0,5400.0
3085.1,3277.8199999999997
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
70.49000000000001,91.61
5400.0,5400.0
5400.0,5400.0
517.39,492.11
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1180.6100000000001,1218.32
420.59,409.29
5400.0,5400.0
1852.32,2665.09
5400.0,5400.0
123.56,95.83
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
327.98,299.19
5400.0,5400.0
95.91,122.67
882.9899999999999,731.17
137.35,127.39999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
143.82,125.41999999999999
5400.0,5400.0
148.64000000000001,150.70000000000002
5400.0,5400.0
5400.0,5400.0
836.37,905.49
157.97,128.10999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1284.64,1075.92
5400.0,5400.0
5400.0,5400.0
3325.32,3133.93
1042.26,913.24
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
189.1,161.23
745.46,543.96
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
461.37,395.18
5400.0,5400.0
5400.0,5400.0
215.51,207.78
735.1,931.03
5400.0,5400.0
638.0799999999999,547.36
5400.0,5400.0
1047.6699999999998,948.39
